datetime,station,acronim,value
2020-01-20T22:59:00Z,X2,HRX,90
2020-01-19T23:01:00Z,X2,HRN,27
2020-01-20T01:33:00Z,X4,TX,11
2020-01-20T22:30:00Z,X4,TN,8
2020-01-20T22:59:00Z,X4,HRX,85
2020-01-19T23:00:00Z,X4,HRN,25
2020-01-20T19:14:00Z,X4,PX,1023.5
2020-01-20T03:30:00Z,X4,PN,1018.1
2020-01-20T15:33:00Z,X4,VVX10,18.3
2020-01-20T15:33:00Z,X4,DVVX10,32
2020-01-20T01:35:00Z,X8,TX,10.7
2020-01-20T22:56:00Z,X8,TN,7.6
2020-01-20T22:59:00Z,X8,HRX,88
