,datetime,113,101,329
440,2020-01-19T08:00:00,2.0,0.0,0.0
441,2020-01-19T09:00:00,4.0,1.0,0.0
442,2020-01-19T10:00:00,2.0,3.0,0.0
443,2020-01-19T11:00:00,7.0,0.0,0.0
444,2020-01-19T12:00:00,4.0,5.0,0.0
445,2020-01-19T13:00:00,1.0,2.0,0.0
446,2020-01-19T14:00:00,1.0,3.0,0.0
447,2020-01-19T15:00:00,3.0,5.0,1.0
448,2020-01-19T16:00:00,3.0,4.0,0.0
449,2020-01-19T17:00:00,1.0,0.0,0.0
450,2020-01-19T18:00:00,1.0,3.0,0.0
451,2020-01-19T19:00:00,1.0,2.0,0.0
452,2020-01-19T20:00:00,1.0,4.0,0.0
453,2020-01-19T21:00:00,1.0,1.0,1.0
454,2020-01-19T22:00:00,3.0,1.0,0.0
455,2020-01-19T23:00:00,0.0,1.0,0.0
456,2020-01-20T00:00:00,2.0,0.0,0.0
457,2020-01-20T01:00:00,6.0,0.0,0.0
458,2020-01-20T02:00:00,0.0,0.0,0.0
459,2020-01-20T03:00:00,0.0,0.0,0.0
460,2020-01-20T04:00:00,0.0,0.0,0.0
461,2020-01-20T05:00:00,3.0,1.0,1.0
462,2020-01-20T06:00:00,6.0,0.0,1.0
463,2020-01-20T07:00:00,3.0,4.0,3.0
464,2020-01-20T08:00:00,2.0,1.0,2.0
465,2020-01-20T09:00:00,1.0,3.0,0.0
466,2020-01-20T10:00:00,1.0,1.0,0.0
467,2020-01-20T11:00:00,6.0,3.0,0.0
468,2020-01-20T12:00:00,0.0,9.0,2.0
469,2020-01-20T13:00:00,5.0,4.0,7.0
470,2020-01-20T14:00:00,4.0,5.0,0.0
471,2020-01-20T15:00:00,2.0,4.0,1.0
472,2020-01-20T16:00:00,2.0,5.0,4.0
473,2020-01-20T17:00:00,3.0,4.0,0.0
474,2020-01-20T18:00:00,0.0,0.0,4.0
475,2020-01-20T19:00:00,3.0,5.0,0.0
476,2020-01-20T20:00:00,2.0,0.0,0.0
477,2020-01-20T21:00:00,0.0,1.0,0.0
478,2020-01-20T22:00:00,3.0,0.0,0.0
479,2020-01-20T23:00:00,2.0,0.0,0.0
480,2020-01-21T00:00:00,1.0,0.0,0.0
481,2020-01-21T01:00:00,1.0,0.0,0.0
482,2020-01-21T02:00:00,0.0,0.0,0.0
483,2020-01-21T03:00:00,0.0,0.0,0.0
484,2020-01-21T04:00:00,0.0,0.0,0.0
485,2020-01-21T05:00:00,1.0,0.0,0.0
486,2020-01-21T06:00:00,1.0,0.0,0.0
487,2020-01-21T07:00:00,0.0,0.0,0.0
488,2020-01-21T08:00:00,0.0,1.0,1.0
489,2020-01-21T09:00:00,0.0,0.0,0.0
490,2020-01-21T10:00:00,0.0,1.0,0.0
491,2020-01-21T11:00:00,0.0,0.0,1.0
492,2020-01-21T12:00:00,1.0,2.0,1.0
493,2020-01-21T13:00:00,1.0,3.0,4.0
494,2020-01-21T14:00:00,2.0,0.0,1.0
495,2020-01-21T15:00:00,3.0,4.0,0.0
496,2020-01-21T16:00:00,2.0,2.0,0.0
497,2020-01-21T17:00:00,1.0,3.0,0.0
498,2020-01-21T18:00:00,14.0,1.0,0.0
499,2020-01-21T19:00:00,1.0,1.0,0.0
500,2020-01-21T20:00:00,1.0,0.0,0.0
501,2020-01-21T21:00:00,0.0,1.0,0.0
502,2020-01-21T22:00:00,0.0,1.0,0.0
503,2020-01-21T23:00:00,0.0,1.0,0.0
504,2020-01-22T00:00:00,1.0,0.0,0.0
505,2020-01-22T01:00:00,0.0,0.0,12.0
506,2020-01-22T02:00:00,0.0,0.0,0.0
507,2020-01-22T03:00:00,0.0,0.0,0.0
508,2020-01-22T04:00:00,0.0,0.0,0.0
509,2020-01-22T05:00:00,2.0,1.0,1.0
510,2020-01-22T06:00:00,4.0,1.0,1.0
511,2020-01-22T07:00:00,5.0,3.0,3.0
512,2020-01-22T08:00:00,3.0,2.0,1.0
513,2020-01-22T09:00:00,4.0,5.0,0.0
514,2020-01-22T10:00:00,2.0,1.0,2.0
515,2020-01-22T11:00:00,0.0,1.0,2.0
